2018-12-15 13:55:53,409 [Worker-36: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 13:55:53,410 [Worker-36: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 13:55:53,412 [Worker-36: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 13:55:53,413 [Worker-36: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:16:13,293 [Worker-35: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:16:13,294 [Worker-35: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:16:13,296 [Worker-35: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:16:13,297 [Worker-35: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:18:59,413 [Worker-35: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:18:59,415 [Worker-35: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:18:59,416 [Worker-35: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:18:59,418 [Worker-35: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:19:29,634 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:19:29,635 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:19:29,636 [Worker-31: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:19:29,637 [Worker-31: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:25:00,635 [Worker-35: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:25:00,636 [Worker-35: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:25:00,638 [Worker-35: Launching Runner] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-15 14:25:00,642 [Worker-35: Launching Runner] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-15 14:27:47,048 [Worker-42: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
